"EVTYPE", "newval"
"AGRICULTURAL FREEZE", "FREEZE"
"ASTRONOMICAL HIGH TIDE", "HIGH TIDE"
"ASTRONOMICAL LOW TIDE", "LOW TIDE"
"AVALANCE", "AVALANCHE"
"AVALANCHE", "AVALANCHE"
"BEACH EROSION", "EROSION"
"BLACK ICE", "ICE"
"BLIZZARD", "SNOW"
"BLIZZARD/WINTER STORM", "WINTERY MIX"
"BLOWING SNOW", "SNOW"
"BREAKUP FLOODING", "FLOOD"
"BRUSH FIRE", "FIRE"
"COASTAL EROSION", "EROSION"
"COASTAL FLOOD", "FLOOD"
"COASTAL FLOODING", "FLOOD"
"COASTAL FLOODING/EROSION", "FLOOD"
"COASTAL FLOODING/EROSION", "FLOOD"
"COASTAL STORM", "STORM"
"COASTALSTORM", "STORM"
"COASTAL SURGE", "SURGE"
"COLD", "COLD"
"COLD AIR TORNADO", "TORNADO"
"COLD AND SNOW", "COLD/SNOW"
"COLD AND WET CONDITIONS", "COLD"
"COLD TEMPERATURE", "COLD"
"COLD WAVE", "COLD"
"COLD WEATHER", "COLD"
"COLD/WIND CHILL", "COLD/WIND"
"COLD/WINDS", "COLD/WIND"
"COOL AND WET", "RAIN"
"DAMAGING FREEZE", "FREEZE"
"DAM BREAK", "DAM BREAK"
"DENSE FOG", "FOG"
"DENSE SMOKE", "SMOKE"
"DROUGHT", "DROUGHT"
"DROUGHT/EXCESSIVE HEAT", "DROUGHT/HEAT"
"DRY MICROBURST", "WIND"
"DRY MIRCOBURST WINDS", "WIND"
"DUST DEVIL", "DUST"
"DUST DEVIL WATERSPOUT", "DUST"
"DUST STORM", "DUST"
"DUST STORM/HIGH WINDS", "WIND"
"EARLY FROST", "ICE"
"EROSION/CSTL FLOOD", "FLOOD"
"EXCESSIVE HEAT", "HEAT"
"EXCESSIVE RAINFALL", "RAIN"
"EXCESSIVE SNOW", "SNOW"
"EXTENDED COLD", "COLD"
"EXTREME COLD", "COLD"
"EXTREME COLD/WIND CHILL", "COLD"
"EXTREME HEAT", "HEAT"
"EXTREME WIND CHILL", "WIND CHILL"
"EXTREME WINDCHILL", "WIND CHILL"
"FALLING SNOW/ICE", "SNOW/ICE"
" FLASH FLOOD", "FLOOD"
"FLASH FLOOD/", "FLOOD"
"FLASH FLOOD", "FLOOD"
"FLASH FLOOD/FLOOD", "FLOOD"
"FLASH FLOOD FROM ICE JAMS", "FLOOD"
"FLASH FLOOD - HEAVY RAIN", "FLOOD"
"FLASH FLOODING", "FLOOD"
"FLASH FLOODING/FLOOD", "FLOOD"
"FLASH FLOODING/THUNDERSTORM WI", "FLOOD"
"FLASH FLOODS", "FLOOD"
"FLASH FLOOD/ STREET", "FLOOD"
"FLASH FLOOD WINDS", "FLOOD"
"FLOOD", "FLOOD"
"FLOOD FLASH", "FLOOD"
"FLOOD/FLASH", "FLOOD"
"FLOOD/FLASH FLOOD", "FLOOD"
"FLOOD/FLASHFLOOD", "FLOOD"
"FLOOD/FLASH/FLOOD", "FLOOD"
"FLOOD & HEAVY RAIN", "FLOOD"
"FLOODING", "FLOOD"
"FLOODING/HEAVY RAIN", "FLOOD"
"FLOOD/RAIN/WINDS", "FLOOD"
"FLOOD/RIVER FLOOD", "FLOOD"
"FLOODS", "FLOOD"
"FOG", "FOG"
"FOG AND COLD TEMPERATURES", "FOG/COLD"
"FOREST FIRES", "FIRE"
"FREEZE", "FREEZE"
"FREEZING DRIZZLE", "FREEZE"
"FREEZING FOG", "FREEZE"
"FREEZING RAIN", "FREEZE"
"FREEZING RAIN/SLEET", "FREEZE"
"FREEZING RAIN/SNOW", "FREEZE"
"FREEZING SPRAY", "FREEZE"
"FROST", "FREEZE"
"FROST\\FREEZE", "FREEZE"
"FROST/FREEZE", "FREEZE"
"FUNNEL CLOUD", "FUNNEL CLOUD"
"GLAZE", "ICE"
"GLAZE ICE", "ICE"
"GLAZE/ICE STORM", "ICE STORM"
"GRADIENT WIND", "WIND"
"GRASS FIRES", "FIRE"
"GROUND BLIZZARD", "SNOW"
"GUSTNADO", "WIND"
"GUSTY WIND", "WIND"
"GUSTY WIND/HAIL", "WIND/HAIL"
"GUSTY WIND/HVY RAIN", "WIND/RAIN"
"GUSTY WIND/RAIN", "WIND/RAIN"
"GUSTY WINDS", "WIND"
"HAIL", "HAIL"
"HAIL 0.75", "HAIL"
"HAIL 075", "HAIL"
"HAIL 100", "HAIL"
"HAIL 125", "HAIL"
"HAIL 150", "HAIL"
"HAIL 175", "HAIL"
"HAIL 200", "HAIL"
"HAIL 275", "HAIL"
"HAIL 450", "HAIL"
"HAIL 75", "HAIL"
"HAIL DAMAGE", "HAIL"
"HAILSTORM", "HAIL"
"HAIL/WIND", "WIND/HAIL"
"HAIL/WINDS", "WIND/HAIL"
"HARD FREEZE", "FREEZE"
"HAZARDOUS SURF", "SURF"
"HEAT", "HEAT"
"HEAT WAVE", "HEAT"
"HEAT WAVE DROUGHT", "HEAT/DROUGHT"
"HEAT WAVES", "HEAT"
"HEAVY LAKE SNOW", "SNOW"
"HEAVY MIX", "WINTERY MIX"
"HEAVY PRECIPITATION", "RAIN"
"HEAVY RAIN", "RAIN"
"HEAVY RAIN AND FLOOD", "FLOOD"
"HEAVY RAIN/HIGH SURF", "RAIN/SURF"
"HEAVY RAIN/LIGHTNING", "RAIN/LIGHTNING"
"HEAVY RAINS", "RAIN"
"HEAVY RAIN/SEVERE WEATHER", "RAIN"
"HEAVY RAINS/FLOODING", "FLOOD"
"HEAVY RAIN/SNOW", "RAIN/SNOW"
"HEAVY SEAS", "RAIN/SNOW"
"HEAVY SNOW", "SNOW"
"HEAVY SNOW AND HIGH WINDS", "SNOW"
"HEAVY SNOW AND STRONG WINDS", "SNOW"
"HEAVY SNOW/BLIZZARD", "SNOW"
"HEAVY SNOW/BLIZZARD/AVALANCHE", "SNOW"
"HEAVY SNOW/FREEZING RAIN", "SNOW/ICE"
"HEAVY SNOW/HIGH WINDS & FLOOD", "SNOW/WIND/FLOOD"
"HEAVY SNOW/ICE", "SNOW/ICE"
"HEAVY SNOWPACK", "SNOW"
"HEAVY SNOW SHOWER", "SNOW"
"HEAVY SNOW SQUALLS", "SNOW"
"HEAVY SNOW-SQUALLS", "SNOW"
"HEAVY SNOW/SQUALLS", "SNOW"
"HEAVY SNOW/WIND", "SNOW"
"HEAVY SNOW/WINTER STORM", "SNOW"
"HEAVY SURF", "SURF"
"HEAVY SURF AND WIND", "SURF"
"HEAVY SURF COASTAL FLOODING", "SURF"
"HEAVY SURF/HIGH SURF", "SURF"
"HIGH SEAS", "SEAS"
"HIGH SURF", "SURF"
"HIGH TIDES", "TIDES"
"HIGH WATER", "WATER"
"HIGH WAVES", "WAVES"
"HIGH WIND", "WIND"
"HIGH WIND 48", "WIND"
"HIGH WIND AND SEAS", "WIND/SEAS"
"HIGH WIND/BLIZZARD", "WIND/SNOW"
"HIGH WIND DAMAGE", "WIND"
"HIGH WIND (G40)", "WIND"
"HIGH WIND/HEAVY SNOW", "WIND/SNOW"
"HIGH WINDS", "WIND"
"HIGH WINDS", "WIND"
"HIGH WINDS/", "WIND"
"HIGH WINDS/COASTAL FLOOD", "WIND/FLOOD"
"HIGH WINDS/COLD", "WIND"
"HIGH WIND/SEAS", "WIND"
"HIGH WINDS/HEAVY RAIN", "WIND/RAIN"
"HIGH WINDS HEAVY RAINS", "WIND/RAIN"
"HIGH WINDS/SNOW", "WIND/SNOW"
"HURRICANE", "HURRICANE"
"HURRICANE EDOUARD", "HURRICANE"
"HURRICANE EMILY", "HURRICANE"
"HURRICANE ERIN", "HURRICANE"
"HURRICANE FELIX", "HURRICANE"
"HURRICANE-GENERATED SWELLS", "HURRICANE"
"HURRICANE GORDON", "HURRICANE"
"HURRICANE OPAL", "HURRICANE"
"HURRICANE OPAL/HIGH WINDS", "HURRICANE"
"HURRICANE/TYPHOON", "HURRICANE"
"HVY RAIN", "RAIN"
"HYPERTHERMIA/EXPOSURE", "HYPERTHERMIA/EXPOSURE"
"HYPOTHERMIA", "HYPERTHERMIA/EXPOSURE"
"HYPOTHERMIA/EXPOSURE", "HYPERTHERMIA/EXPOSURE"
"ICE", "ICE"
"ICE FLOES", "ICE"
"ICE JAM", "ICE"
"ICE JAM FLOODING", "FLOOD"
"ICE JAM FLOOD (MINOR", "FLOOD"
"ICE ON ROAD", "ICE"
"ICE ROADS", "ICE"
"ICE STORM", "HAIL"
"ICE STORM/FLASH FLOOD", "HAIL/FLOOD"
"ICE/STRONG WINDS", "WIND/ICE"
"ICY ROADS", "ICE"
"LAKE EFFECT SNOW", "SNOW"
"LAKE-EFFECT SNOW", "SNOW"
"LAKE FLOOD", "FLOOD"
"LAKESHORE FLOOD", "FLOOD"
"LANDSLIDE", "LANDSLIDE"
"LANDSLIDES", "LANDSLIDE"
"LANDSLUMP", "LANDSLIDE"
"LANDSPOUT", "LANDSLIDE"
"LATE SEASON SNOW", "SNOW"
"LIGHT FREEZING RAIN", "HAIL"
"LIGHTNING.", "LIGHTNING"
"LIGHTNING", "LIGHTNING"
"LIGHTNING AND HEAVY RAIN", "RAIN/LIGHTNING"
"LIGHTNING AND THUNDERSTORM WIN", "THUNDERSTORM/WIND/LIGHTNING"
"LIGHTNING FIRE", "FIRE"
"LIGHTNING/HEAVY RAIN", "RAIN"
"LIGHTNING INJURY", "LIGHTNING"
"LIGHTNING THUNDERSTORM WINDS", "THUNDERSTORM/WIND/LIGHTNING"
"LIGHT SNOW", "SNOW"
"LIGHT SNOWFALL", "SNOW"
"LIGNTNING", "LIGHTNING"
"LOW TEMPERATURE", "COLD"
"MAJOR FLOOD", "FLOOD"
"MARINE ACCIDENT", "MARINE MISHAP"
"MARINE MISHAP", "MARINE MISHAP"
"MICROBURST", "WIND"
"MICROBURST WINDS", "WIND"
"MINOR FLOODING", "FLOOD"
"MIXED PRECIP", "RAIN"
"MIXED PRECIPITATION", "MUD SLIDE"
"MUD SLIDE", "MUD SLIDE"
"MUDSLIDE", "MUD SLIDE"
"MUD SLIDES", "MUD SLIDE"
"MUDSLIDES", "MUD SLIDE"
"MUD SLIDES URBAN FLOODING", "FLOOD/MUD SLIDE"
"NON-SEVERE WIND DAMAGE", "WIND"
"NON TSTM WIND", "WIND"
"NON-TSTM WIND", "WIND"
"OTHER", "OTHER"
"RAIN", "RAIN"
"RAIN/SNOW", "RAIN/SNOW"
"RAINSTORM", "RAIN"
"RAIN/WIND", "WIND/RAIN"
"RAPIDLY RISING WATER", "FLOOD"
"RECORD COLD", "COLD"
"RECORD/EXCESSIVE HEAT", "HEAT"
"RECORD HEAT", "HEAT"
"RECORD RAINFALL", "RAIN"
"RECORD SNOW", "SNOW"
"RIP CURRENT", "RIP CURRENT"
"RIP CURRENTS", "RIP CURRENT"
"RIP CURRENTS/HEAVY SURF", "RIP CURRENT/SURF"
"RIVER AND STREAM FLOOD", "FLOOD"
"RIVER FLOOD", "FLOOD"
"RIVER FLOODING", "FLOOD"
"ROCK SLIDE", "ROCK SLIDE"
"ROGUE WAVE", "SURF"
"ROUGH SEAS", "SEA"
"ROUGH SURF", "SURF"
"RURAL FLOOD", "FLOOD"
"SEICHE", "SEICHE"
"SEVERE THUNDERSTORM", "THUNDERSTORM"
"SEVERE THUNDERSTORMS", "THUNDERSTORM"
"SEVERE THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"SEVERE TURBULENCE", "TURBULENCE"
"SLEET", "HAIL"
"SLEET/ICE STORM", "HAIL"
"SMALL HAIL", "HAIL"
"SMALL STREAM FLOOD", "FLOOD"
"SNOW", "SNOW"
"SNOW ACCUMULATION", "SNOW"
"SNOW AND HEAVY SNOW", "SNOW"
"SNOW AND ICE", "SNOW"
"SNOW AND ICE STORM", "SNOW/HAIL"
"SNOW/ BITTER COLD", "SNOW/COLD"
"SNOW/BLOWING SNOW", "SNOW"
"SNOW/COLD", "SNOW/COLD"
"SNOW FREEZING RAIN", "SNOW/HAIL"
"SNOW/FREEZING RAIN", "SNOW/HAIL"
"SNOW/HEAVY SNOW", "SNOW"
"SNOW/HIGH WINDS", "SNOW/WIND"
"SNOW/ ICE", "SNOW/ICE"
"SNOW/ICE", "SNOW/ICE"
"SNOW/ICE STORM", "SNOW/HAIL"
"SNOWMELT FLOODING", "FLOOD"
"SNOW/SLEET", "SNOW/HAIL"
"SNOW/SLEET/FREEZING RAIN", "SNOW/HAIL"
"SNOW SQUALL", "SNOW"
"SNOW SQUALLS", "SNOW"
"STORM SURGE", "STORM/SEA"
"STORM SURGE/TIDE", "STORM/SEA"
"STRONG WIND", "WIND"
"STRONG WINDS", "WIND"
"THUNDEERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERESTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSNOW", "THUNDERSTORM/SNOW"
"THUNDERSTORM", "THUNDERSTORM"
"THUNDERSTORM DAMAGE TO", "THUNDERSTORM"
"THUNDERSTORMS", "THUNDERSTORM"
"THUNDERSTORMS WIND", "THUNDERSTORM/WIND"
"THUNDERSTORMW", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND.", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 60 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 65 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 65MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 98 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/AWNING", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND (G40)", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G50", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G52", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G55", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G60", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WIND/LIGHTNING", "THUNDERSTORM/WIND/LIGHTNING"
"THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS.", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSTORMWINDS", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS 13", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS53", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS 63 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS/ FLOOD", "THUNDERSTORM/WIND/FLOOD"
"THUNDERSTORM WINDS/FLOODING", "THUNDERSTORM/WIND/FLOOD"
"THUNDERSTORM WINDS/FUNNEL CLOU", "THUNDERSTORM/WIND/FUNNEL"
"THUNDERSTORM WINDS G60", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WINDS/HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WINDS LIGHTNING", "THUNDERSTORM/WIND/LIGHTNING"
"THUNDERSTORM WINDSS", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/ TREE", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/ TREES", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND TREES", "THUNDERSTORM/WIND"
"THUNDERSTORM WINS", "THUNDERSTORM/WIND"
"THUNDERSTROM WIND", "THUNDERSTORM/WIND"
"THUNDERTORM WINDS", "THUNDERSTORM/WIND"
"THUNERSTORM WINDS", "THUNDERSTORM/WIND"
"TIDAL FLOODING", "FLOOD"
"TORNADO", "TORNADO"
"TORNADOES", "TORNADO"
"TORNADOES, TSTM WIND, HAIL", "TORNADO"
"TORNADO F0", "TORNADO"
"TORNADO F1", "TORNADO"
"TORNADO F2", "TORNADO"
"TORNADO F3", "TORNADO" 
"TORNDAO", "TORNADO"
"TORRENTIAL RAINFALL", "RAIN"
"TROPICAL DEPRESSION", "TROPICAL DEPRESSION"
"TROPICAL STORM", "TROPICAL STORM"
"TROPICAL STORM ALBERTO", "TROPICAL STORM"
"TROPICAL STORM DEAN", "TROPICAL STORM"
"TROPICAL STORM GORDON", "TROPICAL STORM"
"TROPICAL STORM JERRY", "TROPICAL STORM"
"TSTMW", "TROPICAL STORM/WIND"
" TSTM WIND", "TROPICAL STORM/WIND"
"TSTM WIND", "TROPICAL STORM/WIND"
"TSTM WIND 40", "TROPICAL STORM/WIND"
"TSTM WIND (41)", "TROPICAL STORM/WIND"
"TSTM WIND 45", "TROPICAL STORM/WIND"
"TSTM WIND 55", "TROPICAL STORM/WIND"
"TSTM WIND 65)", "TROPICAL STORM/WIND"
"TSTM WIND AND LIGHTNING", "TROPICAL STORM/WIND/LIGHTNING"
"TSTM WIND DAMAGE", "TROPICAL STORM/WIND"
"TSTM WIND (G35)", "TROPICAL STORM/WIND"
"TSTM WIND (G40)", "TROPICAL STORM/WIND"
" TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND G45", "TROPICAL STORM/WIND"
"TSTM WIND G58", "TROPICAL STORM/WIND"
"TSTM WIND/HAIL", "TROPICAL STORM/WIND/HAIL",
"TSTM WINDS", "TROPICAL STORM/WIND"
"TSUNAMI", "TSUNAMI"
"TUNDERSTORM WIND", "TUNDERSTORM/WIND"
"UNSEASONABLE COLD", "COLD"
"UNSEASONABLY COLD", "COLD"
"UNSEASONABLY WARM", "WARM"
"UNSEASONABLY WARM AND DRY", "WARM/DRY"
"UNSEASONAL RAIN", "RAIN"
"URBAN AND SMALL", "FLOOD"
"URBAN AND SMALL STREAM FLOODIN", "FLOOD"
"URBAN FLOOD", "FLOOD"
"URBAN FLOODING", "FLOOD"
"URBAN/SMALL STREAM FLOOD", "FLOOD"
"URBAN/SML STREAM FLD", "FLOOD"
"WARM WEATHER", "WARM"
"WATERSPOUT", "WATERSPOUT"
"WATERSPOUT-", "WATERSPOUT"
"WATERSPOUT TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT/ TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT-TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT/TORNADO", "TORNADO/WATERSPOUT"
"WET MICROBURST", "TORNADO/WATERSPOUT"
"WHIRLWIND", "WIND"
"WILDFIRE", "FIRE"
"WILD FIRES", "FIRE"
"WILDFIRES", "FIRE"
"WILD/FOREST FIRE", "FIRE"
"WILD/FOREST FIRES", "FIRE"
"WIND", "WIND"
"WIND AND WAVE", "WIND/SURF"
"WIND DAMAGE", "WIND"
"WIND/HAIL", "WIND/HAIL"
"WINDS", "WIND"
"WIND STORM", "WIND"
"WINTER STORM", "STORM"
"WINTER STORM HIGH WINDS", "STORM/WIND"
"WINTER STORMS", "STORM"
"WINTER WEATHER", "WINTERY MIX"
"WINTER WEATHER MIX", "WINTERY MIX"
"WINTER WEATHER/MIX", "WINTERY MIX"
"WINTRY MIX", "WINTERY MIX"